Title	Author	ISBN	CoverURL	CoverStyle	Series	Subgenre	PublicRating	MythShelfScore	Tier	ReviewStatus	ReadingFormat	ReadingProgress	Tags	ShortHook	ReviewLink
Red Rising	Pierce Brown			red	Red Rising	Sci-Fantasy / Dystopian		4	Worthy Quest	Reviewed		Finished	red rising, rebellion, caste system, dystopian, sci-fantasy	The beginning of a brutal rebellion saga built around class, power and survival.	#
Golden Son	Pierce Brown			red	Red Rising	Sci-Fantasy / Space Opera		5	Legendary Shelf	Reviewed		Finished	red rising, politics, betrayal, war, space opera	A major escalation in scale, politics and emotional damage.	#
Morning Star	Pierce Brown			red	Red Rising	Sci-Fantasy / Space Opera		5	Legendary Shelf	Reviewed		Finished	red rising, revolution, friendship, war, sacrifice	The first major arc reaches a powerful emotional and political climax.	#
Iron Gold	Pierce Brown			dark	Red Rising	Sci-Fantasy / Space Opera		4	Worthy Quest	Reviewed		Finished	red rising, aftermath, politics, empire, consequence	A more complicated look at what happens after revolution does not fix everything.	#
Dark Age	Pierce Brown			dark	Red Rising	Dark Sci-Fantasy		5	Legendary Shelf	Reviewed		Finished	red rising, war, trauma, empire, grimdark	A punishing and intense continuation filled with collapse, violence and consequence.	#
Light Bringer	Pierce Brown			red	Red Rising	Sci-Fantasy / Space Opera		5	Legendary Shelf	Reviewed		Finished	red rising, redemption, war, friendship, space opera	A reflective and emotionally heavy continuation of the Red Rising saga.	#
Artemis Fowl	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, fairies, genius, heist, childhood read	A clever, funny fantasy-tech adventure with a memorable antihero lead.	#
Artemis Fowl: The Arctic Incident	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, fairies, rescue, tech, adventure	A strong continuation that expands the fairy world and Artemis’s loyalties.	#
Artemis Fowl: The Eternity Code	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, technology, heist, fairies, memory	A sharp tech-fantasy adventure with clever plotting and personal consequences.	#
Artemis Fowl: The Opal Deception	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, opal koboi, revenge, fairies, memory	A darker Artemis Fowl entry built around revenge, loss and restored identity.	#
Artemis Fowl: The Lost Colony	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, demons, time, genius, fantasy tech	An expansion of the magical world with demons, time distortion and new rival intelligence.	#
Artemis Fowl: The Time Paradox	Eoin Colfer			mixed	Artemis Fowl	Young Adult Fantasy / Science Fantasy		3	Mixed Magic	Reviewed		Finished	artemis fowl, time travel, family, paradox, magic	A twisty time-travel entry that plays with Artemis’s past and motivations.	#
Artemis Fowl: The Atlantis Complex	Eoin Colfer			mixed	Artemis Fowl	Young Adult Fantasy / Science Fantasy		3	Mixed Magic	Reviewed		Finished	artemis fowl, atlantis, psychology, fairies, comedy	An unusual entry focused on instability, identity and a more fractured Artemis.	#
Artemis Fowl: The Last Guardian	Eoin Colfer			green	Artemis Fowl	Young Adult Fantasy / Science Fantasy		4	Worthy Quest	Reviewed		Finished	artemis fowl, finale, fairies, family, magic	The main Artemis Fowl story reaches its final confrontation.	#
The Way of Kings	Brandon Sanderson			mixed	The Stormlight Archive	Epic Fantasy		5	Legendary Shelf	Reviewed		Finished	stormlight archive, knights radiant, war, oaths, epic fantasy	A massive epic fantasy opening built around trauma, honour, war and ancient power.	#
Words of Radiance	Brandon Sanderson			mixed	The Stormlight Archive	Epic Fantasy		5	Legendary Shelf	Reviewed		Finished	stormlight archive, knights radiant, shallan, kaladin, oaths	A major payoff volume with big emotional moments and expanded Radiant mythology.	#
Oathbringer	Brandon Sanderson			mixed	The Stormlight Archive	Epic Fantasy		5	Legendary Shelf	Reviewed		Finished	stormlight archive, dalinar, oaths, war, redemption	A huge epic about guilt, leadership, memory and the cost of becoming better.	#
Rhythm of War	Brandon Sanderson			mixed	The Stormlight Archive	Epic Fantasy		4	Crown Worthy	Reviewed		Finished	stormlight archive, science magic, trauma, occupation, radiants	A slower but deep continuation focused on trauma, systems, science and endurance.	#
Mistborn: The Final Empire	Brandon Sanderson			dark	Mistborn	Epic Fantasy		5	Legendary Shelf	Reviewed		Finished	mistborn, allomancy, rebellion, heist, empire	A fantasy heist and rebellion story with one of the clearest magic systems in the genre.	#
The Well of Ascension	Brandon Sanderson			dark	Mistborn	Epic Fantasy		4	Worthy Quest	Reviewed		Finished	mistborn, politics, siege, kingdom, allomancy	A more political second entry about ruling after rebellion.	#
The Hero of Ages	Brandon Sanderson			dark	Mistborn	Epic Fantasy		5	Legendary Shelf	Reviewed		Finished	mistborn, ending, prophecy, sacrifice, cosmere	A powerful conclusion that recontextualises the whole first Mistborn trilogy.	#
